framework,ncpu,iter,elapsed,flops
hpx-plainmpi-join,96,4096,0.02708821,1858292000000.0
hpx-plainmpi-join,96,32768,0.102008,3947333000000.0
hpx-plainmpi-join,96,262144,0.7195959,4476445000000.0
hpx-plainmpi-join,96,2097152,5.428276,4747329000000.0
hpx-plainmpi-join,96,16777216,43.51339,4737816000000.0
hpx-plainmpi-join,96,64,0.01755233,45155030000.0
hpx-plainmpi-join,96,512,0.02016308,312333300000.0
hpx-plainmpi-join,96,4096,0.02959359,1700969000000.0
hpx-plainmpi-join,96,32768,0.1020595,3945338000000.0
hpx-plainmpi-join,96,262144,0.7187954,4481431000000.0
hpx-plainmpi-join,96,2097152,5.43984,4737237000000.0
hpx-plainmpi-join,96,16777216,43.03575,4790399000000.0
hpx-plainmpi-join,96,64,0.01548608,51179910000.0
hpx-plainmpi-join,96,512,0.01978695,318270400000.0
hpx-plainmpi-join,96,4096,0.02853313,1764187000000.0
hpx-plainmpi-join,96,32768,0.1035328,3889196000000.0
hpx-plainmpi-join,96,262144,0.722068,4461119000000.0
hpx-plainmpi-join,96,2097152,5.394873,4776723000000.0
hpx-plainmpi-join,96,16777216,43.15823,4776805000000.0
hpx-plainmpi-join,192,64,0.02985784,53089980000.0
hpx-plainmpi-join,192,512,0.02083417,604545400000.0
hpx-plainmpi-join,192,4096,0.03075625,3273338000000.0
hpx-plainmpi-join,192,32768,0.1071306,7517164000000.0
hpx-plainmpi-join,192,262144,0.7291898,8835098000000.0
hpx-plainmpi-join,192,2097152,5.417887,9512863000000.0
hpx-plainmpi-join,192,16777216,43.4505,9489348000000.0
hpx-plainmpi-join,192,64,0.02199643,72064060000.0
hpx-plainmpi-join,192,512,0.02175565,578939300000.0
hpx-plainmpi-join,192,4096,0.03389618,2970116000000.0
hpx-plainmpi-join,192,32768,0.1070734,7521180000000.0
hpx-plainmpi-join,192,262144,0.7254669,8880438000000.0
hpx-plainmpi-join,192,2097152,5.473352,9416464000000.0
hpx-plainmpi-join,192,16777216,43.14374,9556818000000.0
hpx-plainmpi-join,192,64,0.0196559,80645100000.0
hpx-plainmpi-join,192,512,0.02213363,569052500000.0
hpx-plainmpi-join,192,4096,0.03177999,3167893000000.0
hpx-plainmpi-join,192,32768,0.1073728,7500208000000.0
hpx-plainmpi-join,192,262144,0.7321699,8799137000000.0
hpx-plainmpi-join,192,2097152,5.433702,9485175000000.0
hpx-plainmpi-join,192,16777216,43.36524,9508005000000.0
hpx-plainmpi-join,192,64,0.0195042,81272360000.0
hpx-plainmpi-join,192,512,0.02156673,584010800000.0
hpx-plainmpi-join,192,4096,0.03027377,3325505000000.0
hpx-plainmpi-join,192,32768,0.107986,7457624000000.0
hpx-plainmpi-join,192,262144,0.7373112,8737780000000.0
hpx-plainmpi-join,192,2097152,5.447547,9461069000000.0
hpx-plainmpi-join,192,16777216,43.15933,9553366000000.0
hpx-plainmpi-join,192,64,0.01774677,89320620000.0
hpx-plainmpi-join,192,512,0.02232971,564055700000.0
hpx-plainmpi-join,192,4096,0.03078631,3270141000000.0
hpx-plainmpi-join,192,32768,0.1073978,7498464000000.0
hpx-plainmpi-join,192,262144,0.7361601,8751443000000.0
hpx-plainmpi-join,192,2097152,5.463877,9432793000000.0
hpx-plainmpi-join,192,16777216,43.11685,9562778000000.0
hpx-plainmpi-join,384,64,0.0232415,136407100000.0
hpx-plainmpi-join,384,512,0.0258659,973884400000.0
hpx-plainmpi-join,384,4096,0.05607618,3590672000000.0
hpx-plainmpi-join,384,32768,0.1101791,14618360000000.0
hpx-plainmpi-join,384,262144,0.7769038,16584970000000.0
hpx-plainmpi-join,384,2097152,5.503739,18728950000000.0
hpx-plainmpi-join,384,16777216,43.43469,18985600000000.0
hpx-plainmpi-join,384,64,0.02385163,132917700000.0
hpx-plainmpi-join,384,512,0.05939502,424116400000.0
hpx-plainmpi-join,384,4096,0.05753038,3499910000000.0
hpx-plainmpi-join,384,32768,0.1356585,11872730000000.0
hpx-plainmpi-join,384,262144,0.8113732,15880400000000.0
hpx-plainmpi-join,384,2097152,5.522423,18665580000000.0
hpx-plainmpi-join,384,16777216,43.65682,18889000000000.0
hpx-plainmpi-join,384,64,0.02169013,146163500000.0
hpx-plainmpi-join,384,512,0.02240025,1124559000000.0
hpx-plainmpi-join,384,4096,0.04973042,4048853000000.0
hpx-plainmpi-join,384,32768,0.1093978,14722760000000.0
hpx-plainmpi-join,384,262144,0.7999095,16107980000000.0
hpx-plainmpi-join,384,2097152,5.599562,18408450000000.0
hpx-plainmpi-join,384,16777216,43.87555,18794840000000.0
